regime,qmc,block,seed,iters,evals,bestCost,initialCost,termination
scarce,uniform,1,7001,128,25475,1410.419989,nan,completed
scarce,uniform,2,7002,128,25475,1067.060340,nan,completed
scarce,uniform,3,7003,128,25475,1185.217538,nan,completed
scarce,uniform,4,7004,128,25475,1270.992409,nan,completed
scarce,uniform,5,7005,128,25475,1328.983982,nan,completed
scarce,uniform,6,7006,128,25475,1182.961473,nan,completed
scarce,uniform,7,7007,128,25475,1367.730110,nan,completed
scarce,uniform,8,7008,128,25475,1074.482072,nan,completed
scarce,uniform,9,7009,128,25475,1371.147182,nan,completed
scarce,uniform,10,7010,128,25475,1288.889083,nan,completed
scarce,uniform,11,7011,128,25475,1364.799773,nan,completed
scarce,uniform,12,7012,128,25475,1371.021921,nan,completed
scarce,uniform,13,7013,128,25475,1039.655813,nan,completed
scarce,uniform,14,7014,128,25475,1162.125635,nan,completed
scarce,uniform,15,7015,128,25475,1196.149971,nan,completed
scarce,uniform,16,7016,128,25475,1284.145022,nan,completed
scarce,uniform,17,7017,128,25475,1119.384190,nan,completed
scarce,uniform,18,7018,128,25475,1153.504712,nan,completed
scarce,uniform,19,7019,128,25475,1277.565834,nan,completed
scarce,uniform,20,7020,128,25475,1136.937806,nan,completed
scarce,uniform,21,7021,128,25475,1160.129211,nan,completed
scarce,uniform,22,7022,128,25475,1317.641233,nan,completed
scarce,uniform,23,7023,128,25475,1359.710163,nan,completed
scarce,uniform,24,7024,128,25475,1205.187566,nan,completed
scarce,uniform,25,7025,128,25475,1282.047228,nan,completed
scarce,uniform,26,7026,128,25475,1190.801970,nan,completed
scarce,uniform,27,7027,128,25475,1203.568058,nan,completed
scarce,uniform,28,7028,128,25475,1265.371863,nan,completed
scarce,uniform,29,7029,128,25475,1392.794707,nan,completed
scarce,uniform,30,7030,128,25475,1307.117527,nan,completed
scarce,uniform,31,7031,128,25475,1344.415831,nan,completed
scarce,uniform,32,7032,128,25475,1308.877850,nan,completed
scarce,uniform,33,7033,128,25475,1222.404349,nan,completed
scarce,uniform,34,7034,128,25475,1219.248131,nan,completed
scarce,uniform,35,7035,128,25475,1285.153403,nan,completed
scarce,uniform,36,7036,128,25475,1416.773088,nan,completed
scarce,uniform,37,7037,128,25475,1123.448573,nan,completed
scarce,uniform,38,7038,128,25475,1231.087462,nan,completed
scarce,uniform,39,7039,128,25475,1274.638163,nan,completed
scarce,uniform,40,7040,128,25475,981.733382,nan,completed
