circles,bestCost,gainFromPrev,jobId,evaluations
100,315.2858467102,0.7367,d04498d8-7d17-4756-85e2-706cff3c5ca7,1812851
101,314.4078623454,0.8780,f63d928c-1aec-42e6-b0b3-03b76551b899,2266042
102,313.7913462321,0.6165,94f54a93-7d20-45c1-b97b-d43085f89672,2711937
103,313.1052449544,0.6861,082d696e-02bd-46ff-919c-9eafcd5677d5,3166088
104,312.4028460185,0.7024,34bf6b6b-8f48-48f7-85b6-7634500c002c,3612367
105,311.7321688334,0.6707,911a9154-d230-47a9-bc4c-806b12932ded,3983249
106,310.0237731934,1.7084,a14f3a0e-4629-4a25-8bcf-00c094aba9c7,4437016
107,309.1451009115,0.8787,3d31aceb-54ec-43f1-9269-d3580e9ff5bb,4884703
108,308.5394833883,0.6056,4cd14296-ae09-4ca8-8295-83cc2ebc9d2c,5338406
109,307.5811767578,0.9583,a7d442a0-1e62-49a4-984b-528eadef1c43,5784237
110,306.3594131470,1.2218,01e03b0f-2b36-47b6-9771-ac720ee25ba9,6234996
111,305.5857391357,0.7737,d1ceef4d-490b-4694-9a47-fc1b73f871f5,6689467
112,304.9983584086,0.5874,eaf11ce7-dfa8-4c8a-8f52-d926224670c9,7135298
113,304.1452496847,0.8531,05dd33fd-27b4-474d-9c1d-9e2b699d2bb8,7588233
114,303.3626060486,0.7826,88b44211-1707-4516-b7be-dc9096f3c6a1,8044368
115,302.6034787496,0.7591,da2c9656-7d5c-4664-b55d-7ca5c6e33b2d,8494743
116,301.8637199402,0.7398,6ee7017a-5fec-4c1a-921a-823fcb8e88c0,8942110
117,301.0793139140,0.7844,b5ffbabe-a803-4273-b366-6ee14b68e959,9397029
118,300.4320971171,0.6472,3cac49bf-b354-4193-b886-2ecdcf56c6f5,9852332
119,299.7861035665,0.6460,d718e00d-cbc7-47fc-92fa-7bd5608a3027,10304307
120,299.1818618774,0.6042,ad55ebe6-ae0f-410a-b760-ea473524d834,10753082
121,298.6600011190,0.5219,58251343-1b06-436b-b2c5-9faf57748297,11209281
122,297.7679888407,0.8920,a1de8121-f14f-4e6f-a454-f6e8ce04e1a2,11659464
123,297.0246899923,0.7433,a5696d57-f880-4227-a924-e155508b18b9,12116943
124,296.4344342550,0.5903,f51e8556-27e4-408a-82a1-1cbf0a710ccb,12570902
125,295.8602727254,0.5742,1eecb23b-1158-45c1-8955-5dcfefd4e651,13020573
126,295.1603800456,0.6999,9216227f-ade0-4250-80a3-60aad9586cea,13468068
127,294.1957244873,0.9647,2258fb64-8275-4181-8c6f-1f9d46ddf552,13916395
128,293.3710835775,0.8246,ba5eb1ee-4df2-4216-94ec-df3ba2dcef56,14373298
129,292.7300796509,0.6410,82fff255-e3ce-4769-86dd-d9e057a3931f,14824697
130,292.1220041911,0.6081,660ce41a-86f5-4773-8593-a32beadbbcd9,15280448
131,291.1252975464,0.9967,024775d6-5553-4f68-870f-93347fb44acf,15732359
132,290.4596519470,0.6656,d1310a5b-1183-4748-9293-f049fa4a5577,16181646
133,289.2008730570,1.2588,9aa84c16-0244-4bd0-904e-9d0d5f4f65b4,16634133
134,288.5388679504,0.6620,5ae5687e-cc93-401c-8a0e-ea03ab704a13,17088348
135,287.9769020081,0.5620,7f8386b7-2f4a-45ff-9d12-a5ce483ce529,17541731
136,287.0176823934,0.9592,5881bf38-39fe-41eb-9255-46731126b6c2,17998314
137,286.5541051229,0.4636,93e7858c-a37d-4f69-b11d-7fb6baa13687,18445681
138,285.7909380595,0.7632,7eb560fc-0493-47be-a901-23d2a230ff7e,18899320
139,285.0959536235,0.6950,7ad69798-18cd-42ec-b155-efe43a9f7a90,19353727
140,284.5704778035,0.5255,072efdd2-9db3-4d4c-9f91-7ab70d2d8706,19811910
141,283.9865341187,0.5839,41cc691e-5161-4630-849a-3557754121c7,20260877
142,283.3260714213,0.6605,1a9b0445-9f6c-4310-a4d5-47cdb1a4f07b,20712340
143,282.8617248535,0.4643,6b8a27b0-712d-411e-bfb6-9f0b9b4af8c7,21160155
144,282.4116134644,0.4501,151dd333-580d-40d9-be95-cb0cfd2d9640,21608802
145,281.8016141256,0.6100,d42b113b-f25e-47f8-b21f-d3086d492489,22058793
146,281.3167419434,0.4849,8e115975-aa1f-4d0f-867d-387dd021d6b1,22510320
